,0
0,9.653977
1,10.555097
2,13.198509
3,16.826157
4,14.528996
5,15.690679
6,22.284569
7,17.312162
8,15.66577
9,13.10829
10,14.641359
11,14.493555
12,18.155567
13,26.511076
14,28.833754
15,18.67725
16,17.610937
17,17.297323
18,15.786178
19,14.312288
20,22.154003
21,19.656916
22,26.553797
23,41.52201
24,27.844896
25,20.986214
26,29.999443
27,32.56512
28,49.02539
29,60.723244
30,40.73215
31,35.017536
32,19.217688
33,18.383587
34,33.240116
35,27.871136
36,23.221283
37,20.001055
38,19.27969
39,18.178
40,25.262495
41,31.384314
42,29.45647
43,21.841764
44,16.638605
45,26.162167
46,24.811268
47,18.743895
48,16.151588
49,13.40411
50,23.553284
51,20.211494
52,21.250067
53,23.907143
54,17.582306
55,22.404787
56,28.655067
57,20.368797
58,28.894045
59,23.021675
60,20.341158
61,21.012375
62,17.287336
63,16.84392
64,13.341629
65,13.704739
66,21.128595
67,18.447685
68,20.279205
69,22.413181
70,52.384087
71,33.671234
72,21.893805
73,18.613977
74,23.128492
75,25.818924
76,27.268518
77,22.464039
78,29.26711
79,21.386724
80,21.022718
81,22.624468
82,27.147728
83,35.988472
84,24.247194
85,20.568401
86,17.6121
87,27.264528
88,30.495165
89,24.36793
90,15.075254
91,16.04957
92,19.355396
93,24.962515
94,17.346628
95,23.035118
96,22.406706
97,30.570505
98,32.611584
99,22.764599
100,22.300707
101,23.822659
102,27.627222
103,32.881798
104,24.759249
105,24.361094
106,30.560907
107,24.266308
108,18.107347
109,13.56676
110,16.912395
111,16.852518
112,20.619934
113,15.641658
114,13.369389
115,21.189848
116,28.921125
117,27.71778
118,47.563976
119,44.36108
120,32.61428
121,39.5092
122,35.783188
123,25.461826
124,35.673077
125,36.83692
126,43.106995
127,39.00007
128,34.75626
129,37.16656
130,56.195145
131,64.62665
132,53.127636
133,96.173164
134,63.656258
135,60.4812
136,45.244316
137,40.726704
138,73.0444
139,68.526535
140,63.403053
141,40.36845
142,49.421925
143,81.89351
144,53.018112
145,42.8726
146,52.57768
147,66.896095
148,58.402653
149,34.46854
150,26.941633
151,39.83407
152,30.454082
153,37.465168
154,54.291046
155,40.402832
156,27.33549
157,24.947395
158,21.881659
159,21.136509
160,28.421642
161,35.397232
162,28.716343
163,34.66317
164,20.221945
165,20.88732
166,27.063536
167,25.347523
168,26.761263
169,28.252026
170,31.864937
171,31.637243
172,24.866962
173,21.301548
174,18.207853
175,16.000694
176,17.722897
177,26.538467
178,32.102814
179,27.335443
180,27.692839
181,20.133608
182,17.751656
183,21.028166
184,24.574472
185,24.242132
186,19.453463
187,16.868488
188,27.545893
189,30.402117
190,32.831196
191,22.195368
192,21.23518
193,25.19126
194,23.20897
195,16.77592
196,14.639569
197,19.245113
198,17.393764
199,20.731646
200,28.15702
201,21.1231
202,33.23675
203,29.9112
204,23.19812
205,34.964478
206,25.249365
207,20.764513
208,28.186628
209,15.06954
210,17.047031
211,11.269218
212,14.582445
213,17.615335
214,14.708489
215,15.312143
216,11.338025
217,11.74465
218,11.343307
219,8.057175
220,6.218305
221,6.9562273
222,12.086111
223,21.368765
224,12.998007
225,10.703229
226,8.957118
227,9.497132
228,9.334016
229,9.691804
230,9.652202
231,11.322387
232,11.176689
233,15.2575865
234,14.555793
235,13.028325
236,12.404269
237,14.549084
238,21.541008
239,15.559589
240,16.8714
241,12.626885
242,12.559116
243,15.534098
244,10.039459
245,11.960126
246,13.79249
247,13.199147
248,21.901934
249,17.340582
250,22.173767
251,17.411922
252,19.716385
253,23.233206
254,15.932824
255,17.717
256,18.560442
257,17.139376
258,17.525202
259,13.92452
260,15.499229
261,11.698201
262,12.006539
263,13.038397
264,16.55767
265,23.88782
266,24.411997
267,25.407078
268,23.003847
269,15.605935
270,18.778913
271,15.3073635
272,18.488499
273,23.531227
274,20.260712
275,23.913437
276,15.9711275
277,13.428883
278,12.828142
279,12.971623
280,12.775078
281,11.359059
282,15.216338
283,10.406728
284,11.248057
285,8.150428
286,7.7974505
287,8.468888
288,16.122427
289,26.265923
290,22.705067
291,20.06373
292,14.139522
293,15.707947
294,21.096882
295,28.362637
296,18.391209
297,26.506933
298,16.515285
299,17.36745
300,18.48791
301,10.851014
302,10.206202
303,14.353597
304,21.355934
305,22.67726
306,19.32593
307,18.225954
308,21.66219
309,23.793377
310,15.520965
311,10.90434
312,10.813964
313,11.900128
314,15.502519
315,17.762587
316,26.027672
317,12.814942
318,11.347257
319,14.127106
320,10.957107
321,8.583283
322,8.057541
323,9.73015
324,11.867685
325,10.840625
326,10.157467
327,10.372721
328,9.837014
329,11.038967
330,17.382734
331,25.100973
332,16.27918
333,36.92709
334,17.454407
335,18.943417
336,24.316338
337,25.798029
338,17.530676
339,16.569157
340,22.215181
341,17.649614
342,17.809658
343,26.373348
344,17.76786
345,25.82974
346,18.316757
347,14.272862
348,10.0638
349,13.085983
350,28.137604
351,35.74362
352,32.87579
353,31.586697
354,18.19803
355,16.549877
356,18.992792
357,15.48972
358,16.68597
359,18.516636
360,14.874496
361,11.421868
362,13.594538
363,18.034122
364,15.018694
365,10.855621
366,6.4905267
367,6.6537294
368,6.5729785
369,6.003164
370,6.883657
371,6.880324
372,6.1326475
373,10.140931
374,14.287606
375,12.488529
376,11.352558
377,10.539079
378,13.190384
379,11.49887
380,13.87346
381,11.77443
382,10.692332
383,15.108356
384,16.144835
385,14.739136
386,14.228964
387,11.111166
388,10.044322
389,8.344848
390,12.277691
391,13.514819
392,14.348343
393,12.962616
394,9.448067
395,10.977171
396,8.730645
397,7.550443
398,7.930715
399,7.6778135
400,7.3896217
401,8.837409
402,11.592335
403,9.710092
404,7.3484993
405,5.960577
406,5.892678
407,5.022265
408,5.279471
409,6.4030128
410,6.3395786
411,5.737682
412,5.5036836
413,5.2068214
414,4.816641
415,6.6084285
416,6.630413
417,5.8324137
418,5.347405
419,4.8098226
420,11.166082
421,17.37214
422,22.885561
423,21.95321
424,16.71833
425,14.316175
426,10.391728
427,11.589785
428,9.890098
429,12.454564
430,11.888244
431,9.096431
432,7.4605064
433,6.0240746
434,5.558414
435,6.6071434
436,7.095922
437,6.549375
438,7.098246
439,6.147204
440,4.874271
441,7.2995534
442,7.4533887
443,6.756921
444,4.408977
445,3.651854
446,4.4429665
447,5.4617877
448,5.458152
449,6.993967
450,8.472787
451,10.207285
452,9.002856
453,7.323858
454,7.8770294
455,8.300447
456,7.610369
457,7.4669414
458,7.0208406
459,11.795337
460,18.132727
461,27.354843
462,14.304667
463,10.44961
464,8.809308
465,8.733285
466,10.341166
467,9.086851
468,11.390785
469,12.307268
470,10.637751
471,9.891197
472,7.906341
473,6.844282
474,10.344627
475,22.728579
476,20.890636
477,8.791331
478,10.426718
479,13.368595
480,25.166924
481,15.98701
482,15.221854
483,10.087751
484,11.70924
485,13.364895
486,18.739828
487,12.099155
488,9.698683
489,9.332252
490,7.7024436
491,7.064156
492,11.030752
493,10.582172
494,12.018856
495,12.13783
496,10.121467
497,9.962983
498,8.170935
499,7.956768
500,7.4417405
501,7.5693536
502,6.259257
503,11.619506
504,10.051677
505,21.744722
506,15.048705
507,16.669333
508,13.781183
509,17.231064
510,18.508545
511,15.415424
512,12.4705515
513,9.59809
514,8.823057
515,12.448765
516,18.836647
517,12.745784
518,9.515427
519,12.804775
520,8.569145
521,10.437083
522,8.394113
523,8.880979
524,9.234152
525,12.891523
526,11.731718
527,13.653571
528,8.819612
529,9.611294
530,9.431892
531,10.547767
532,9.691633
533,7.4758105
534,6.339874
535,5.6854186
536,6.689206
537,9.503627
538,8.3834915
539,8.077705
540,5.7033944
541,5.826361
542,8.671858
543,9.306267
544,11.126511
545,9.394103
546,8.281318
547,10.43906
548,8.9331
549,11.180941
550,7.908258
551,7.6246243
552,9.495462
553,9.109413
554,7.999768
555,7.693371
556,9.834566
557,8.638459
558,6.3248825
559,6.5128484
560,7.247003
561,8.541455
562,9.830838
563,8.666333
564,9.45746
565,8.898615
566,9.1117115
567,7.849414
568,5.8844905
569,5.3007884
570,7.474944
571,8.946262
572,10.806768
573,10.546061
574,8.802301
575,8.968725
576,8.542688
577,8.304388
578,6.022333
579,7.7153335
580,9.25083
581,10.827863
582,11.264439
583,7.8012853
584,6.1607347
585,7.4488664
586,9.905073
587,8.717359
588,7.990155
589,7.0164127
590,6.5772805
591,5.6524415
592,6.0206795
593,5.112197
594,4.780133
595,6.0902333
596,7.9850235
597,7.5866714
598,7.6075525
599,6.9584455
600,6.9400735
601,5.703986
602,3.5901806
603,3.0343983
604,2.9173236
605,3.0353084
606,3.9011204
607,3.4644418
608,3.039497
609,4.5455
610,5.093344
611,4.158822
612,4.836204
613,4.900759
614,4.3823457
615,3.2641706
616,4.31454
617,6.0425134
618,5.846476
619,5.6995344
620,5.9717884
621,4.8479695
622,5.4644804
623,4.873444
624,4.9701056
625,4.1763244
