trade-date,index,,index2
20100105,7.04E-05,7.04E+00,7.04
20100106,3.81E-05,3.81E+00,3.81
20100107,6.75E-05,6.75E+00,6.75
20100108,8.25E-05,8.25E+00,8.25
20100111,9.16E-05,9.16E+00,9.16
20100112,0.000130234,1.30E+01,13.0234
20100113,8.06E-05,8.06E+00,8.06
20100114,8.77E-05,8.77E+00,8.77
20100115,9.35E-05,9.35E+00,9.35
20100118,4.73E-05,4.73E+00,4.73
20100119,0.000145894,1.46E+01,14.5894
20100120,7.80E-05,7.80E+00,7.8
20100121,5.49E-05,5.49E+00,5.49
20100122,0.00010075,1.01E+01,10.075
20100125,9.28E-05,9.28E+00,9.28
20100126,9.50E-05,9.50E+00,9.5
20100127,6.19E-05,6.19E+00,6.19
20100128,0.000110989,1.11E+01,11.0989
20100129,0.000180244,1.80E+01,18.0244
20100201,8.37E-05,8.37E+00,8.37
20100202,8.75E-05,8.75E+00,8.75
20100203,0.000105946,1.06E+01,10.5946
20100204,8.02E-05,8.02E+00,8.02
20100205,0.000241701,2.42E+01,24.1701
20100208,0.000279422,2.79E+01,27.9422
20100209,0.000168935,1.69E+01,16.8935
20100210,0.000134676,1.35E+01,13.4676
20100211,0.000133797,1.34E+01,13.3797
20100212,0.000234906,2.35E+01,23.4906
20100215,3.12E-05,3.12E+00,3.12
20100216,0.000104152,1.04E+01,10.4152
20100217,7.55E-05,7.55E+00,7.55
20100218,0.000165548,1.66E+01,16.5548
20100219,0.000167939,1.68E+01,16.7939
20100222,5.52E-05,5.52E+00,5.52
20100223,0.000148385,1.48E+01,14.8385
20100224,7.19E-05,7.19E+00,7.19
20100225,0.000161126,1.61E+01,16.1126
20100226,9.61E-05,9.61E+00,9.61
20100301,0.000157975,1.58E+01,15.7975
20100302,0.000117548,1.18E+01,11.7548
20100303,4.28E-05,4.28E+00,4.28
20100304,0.000108943,1.09E+01,10.8943
20100305,7.88E-05,7.88E+00,7.88
20100308,8.25E-05,8.25E+00,8.25
20100309,0.000105942,1.06E+01,10.5942
20100310,4.65E-05,4.65E+00,4.65
20100311,6.40E-05,6.40E+00,6.4
20100312,7.47E-05,7.47E+00,7.47
20100315,0.000139029,1.39E+01,13.9029
20100316,8.81E-05,8.81E+00,8.81
20100317,0.000111638,1.12E+01,11.1638
20100318,0.000112263,1.12E+01,11.2263
20100319,0.000122418,1.22E+01,12.2418
20100322,0.000121979,1.22E+01,12.1979
20100323,0.000171174,1.71E+01,17.1174
20100324,0.000215354,2.15E+01,21.5354
20100325,8.73E-05,8.73E+00,8.73
20100326,0.000185355,1.85E+01,18.5355
20100329,9.86E-05,9.86E+00,9.86
20100330,6.28E-05,6.28E+00,6.28
20100331,6.91E-05,6.91E+00,6.91
20100401,6.18E-05,6.18E+00,6.18
20100405,5.14E-05,5.14E+00,5.14
20100406,7.27E-05,7.27E+00,7.27
20100407,5.50E-05,5.50E+00,5.5
20100408,7.59E-05,7.59E+00,7.59
20100409,5.25E-05,5.25E+00,5.25
20100412,9.53E-05,9.53E+00,9.53
20100413,0.000123738,1.24E+01,12.3738
20100414,5.63E-05,5.63E+00,5.63
20100415,6.14E-05,6.14E+00,6.14
20100416,6.98E-05,6.98E+00,6.98
20100419,0.000159699,1.60E+01,15.9699
20100420,0.000102981,1.03E+01,10.2981
20100421,5.91E-05,5.91E+00,5.91
20100422,0.000227991,2.28E+01,22.7991
20100423,8.38E-05,8.38E+00,8.38
20100426,6.48E-05,6.48E+00,6.48
20100427,8.74E-05,8.74E+00,8.74
20100428,0.000103484,1.03E+01,10.3484
20100429,8.12E-05,8.12E+00,8.12
20100430,7.62E-05,7.62E+00,7.62
20100503,4.95E-05,4.95E+00,4.95
20100504,0.00013816,1.38E+01,13.816
20100505,0.000232306,2.32E+01,23.2306
20100506,0.000301462,3.01E+01,30.1462
20100507,0.000354434,3.54E+01,35.4434
20100510,0.000392549,3.93E+01,39.2549
20100511,0.000177631,1.78E+01,17.7631
20100512,0.00012932,1.29E+01,12.932
20100513,0.000207416,2.07E+01,20.7416
20100514,0.000155486,1.55E+01,15.5486
20100517,0.000247723,2.48E+01,24.7723
20100518,0.00013965,1.40E+01,13.965
20100519,0.000213504,2.14E+01,21.3504
20100520,0.000353371,3.53E+01,35.3371
20100521,0.000537605,5.38E+01,53.7605
20100524,0.000255102,2.55E+01,25.5102
20100525,0.000261249,2.61E+01,26.1249
20100526,0.000170261,1.70E+01,17.0261
20100527,0.000149013,1.49E+01,14.9013
20100528,0.000135589,1.36E+01,13.5589
20100531,1.06E-05,1.06E+00,1.06
20100601,0.000261445,2.61E+01,26.1445
20100602,0.000231856,2.32E+01,23.1856
20100603,0.000117592,1.18E+01,11.7592
20100604,0.000379183,3.79E+01,37.9183
20100607,0.000247489,2.47E+01,24.7489
20100608,0.000331914,3.32E+01,33.1914
20100609,0.00014938,1.49E+01,14.938
