trade-date,index
20100105,7.04
20100106,3.81
20100107,6.75
20100108,8.25
20100111,9.16
20100112,13.0234
20100113,8.06
20100114,8.77
20100115,9.35
20100118,4.73
20100119,14.5894
20100120,7.8
20100121,5.49
20100122,10.075
20100125,9.28
20100126,9.5
20100127,6.19
20100128,11.0989
20100129,18.0244
20100201,8.37
20100202,8.75
20100203,10.5946
20100204,8.02
20100205,24.1701
20100208,27.9422
20100209,16.8935
20100210,13.4676
20100211,13.3797
20100212,23.4906
20100215,3.12
20100216,10.4152
20100217,7.55
20100218,16.5548
20100219,16.7939
20100222,5.52
20100223,14.8385
20100224,7.19
20100225,16.1126
20100226,9.61
20100301,15.7975
20100302,11.7548
20100303,4.28
20100304,10.8943
20100305,7.88
20100308,8.25
20100309,10.5942
20100310,4.65
20100311,6.4
20100312,7.47
20100315,13.9029
20100316,8.81
20100317,11.1638
20100318,11.2263
20100319,12.2418
20100322,12.1979
20100323,17.1174
20100324,21.5354
20100325,8.73
20100326,18.5355
20100329,9.86
20100330,6.28
20100331,6.91
20100401,6.18
20100405,5.14
20100406,7.27
20100407,5.5
20100408,7.59
20100409,5.25
20100412,9.53
20100413,12.3738
20100414,5.63
20100415,6.14
20100416,6.98
20100419,15.9699
20100420,10.2981
20100421,5.91
20100422,22.7991
20100423,8.38
20100426,6.48
20100427,8.74
20100428,10.3484
20100429,8.12
20100430,7.62
20100503,4.95
20100504,13.816
20100505,23.2306
20100506,30.1462
20100507,35.4434
20100510,39.2549
20100511,17.7631
20100512,12.932
20100513,20.7416
20100514,15.5486
20100517,24.7723
20100518,13.965
20100519,21.3504
20100520,35.3371
20100521,53.7605
20100524,25.5102
20100525,26.1249
20100526,17.0261
20100527,14.9013
20100528,13.5589
20100531,1.06
20100601,26.1445
20100602,23.1856
20100603,11.7592
20100604,37.9183
20100607,24.7489
20100608,33.1914
20100609,14.938
20100610,18.0725
20100611,27.2211
20100614,12.8658
20100615,17.8454
20100616,8.32
20100617,16.547
20100618,9.17
20100621,7.17
20100622,15.1841
20100623,12.1569
20100624,11.5661
20100625,15.8125
20100628,10.6655
20100629,15.394
20100630,13.187
20100701,15.9995
20100702,33.8353
20100705,1.83
20100706,12.5143
20100707,13.9814
20100708,9.29
20100709,7.27
20100712,10.6207
20100713,15.6312
20100714,8.08
20100715,13.8013
20100716,13.1582
20100719,13.7435
20100720,14.1178
20100721,8.69
20100722,10.3913
20100723,9.26
20100726,9.78
20100727,7.77
20100728,14.4711
20100729,25.593
20100730,13.9866
20100802,8.72
20100803,9.32
20100804,8.22
20100805,6.88
20100806,20.517
20100809,7.85
20100810,11.6343
20100811,6.56
20100812,12.8348
20100813,9.87
20100816,11.814
20100817,11.4646
20100818,12.2991
20100819,13.3677
20100820,12.0032
20100823,7.59
20100824,6.73
20100825,11.4838
20100826,18.1924
20100827,12.5737
20100830,6.36
20100831,15.5585
20100901,12.2786
20100902,10.9077
20100903,17.4569
20100906,3.3
20100907,11.9831
20100908,10.721
20100909,9.78
20100910,13.9701
20100913,7.25
20100914,7.73
20100915,10.8649
20100916,9.65
20100917,8.41
20100920,8.73
20100921,13.2504
20100922,8.14
20100923,9.86
20100924,9.28
20100927,13.1653
20100928,10.3111
20100929,6.79
20100930,12.1251
20101001,5.04
20101004,10.0684
20101005,7.26
20101006,5.66
20101007,14.2091
20101008,24.5018
20101011,11.0234
20101012,12.1998
20101013,5.67
20101014,10.435
20101015,14.7355
20101018,9.72
20101019,20.2882
20101020,9.98
20101021,10.7606
20101022,14.5581
20101025,9.87
20101026,7.68
20101027,5.5
20101028,5.14
20101029,6.47
20101101,23.7169
20101102,8.37
20101103,8.37
20101104,8.59
20101105,7.97
20101108,7.25
20101109,5.4
20101110,8.96
20101111,5.26
20101112,12.8785
20101115,6.67
20101116,9.52
20101117,11.9722
20101118,6.66
20101119,16.2603
20101122,7.81
20101123,12.1425
20101124,9.39
20101125,3.78
20101126,6.96
20101129,8.69
20101130,8.04
20101201,6.31
20101202,9.74
20101203,13.1208
20101206,8.55
20101207,8.17
20101208,7.88
20101209,11.713
20101210,7.45
20101213,5.04
20101214,7.93
20101215,11.9111
20101216,5.37
20101217,5.02
20101220,2.67
20101221,6.41
20101222,2.52
20101223,2.69
20101227,2.93
20101228,2.2
20101229,2.19
20101230,5.66
20101231,6.67
20110103,6.3
20110104,7.13
20110105,9.99
20110106,8.13
20110107,11.8682
20110110,15.5707
20110111,5.67
20110112,6.03
20110113,5.63
20110114,5.92
20110117,2.77
20110118,6.41
20110119,4.33
20110120,11.7558
20110121,6.57
20110124,10.5328
20110125,8.11
20110126,6.31
20110127,8.29
20110128,11.6267
20110131,22.3668
20110201,10.7006
20110202,8.12
20110203,8.98
20110204,11.5244
20110207,11.3789
20110208,13.2916
20110209,8.62
20110210,16.3457
20110211,10.3792
20110214,10.3945
20110215,6.18
20110216,3.77
20110217,8.06
20110218,7.46
20110221,12.5551
20110222,38.7208
20110223,16.9622
20110224,48.9278
20110225,35.9612
20110228,23.4597
20110301,11.3761
20110302,14.8935
20110303,12.3768
20110304,7.78
20110307,17.1559
20110308,21.4059
20110309,7.97
20110310,22.6088
20110311,27.9064
20110314,21.4091
20110315,34.1644
20110316,13.1648
20110317,9.53
20110318,59.8136
20110321,12.8444
20110322,10.9779
20110323,9.16
20110324,8.52
20110325,8.58
20110328,7.17
20110329,6.66
20110330,4.01
20110331,10.4316
20110401,9.75
20110404,6.14
20110405,5.75
20110406,4.88
20110407,3.71
20110408,3.02
20110411,6.24
20110412,22.4413
20110413,13.5379
20110414,17.5824
20110415,8.69
20110418,13.0197
20110419,13.7764
20110420,4.93
20110421,6.61
20110425,6.44
20110426,5.57
20110427,3.53
20110428,5.95
20110429,4.41
20110502,20.9573
20110503,12.5942
20110504,8.74
20110505,22.9567
20110506,201.4515
20110509,22.288
20110510,23.0906
20110511,26.9568
20110512,74.4659
20110513,21.9152
20110516,15.8707
20110517,12.8363
20110518,13.7509
20110519,9.99
20110520,23.7142
20110523,21.8935
20110524,9.31
20110525,14.4245
20110526,12.4689
20110527,5.5
20110530,1.13
20110531,10.8645
20110601,9.88
20110602,10.2349
20110603,20.3746
20110606,10.1611
20110607,10.9321
20110608,22.5364
20110609,9.48
20110610,10.3245
20110613,11.9133
20110614,12.7322
20110615,11.0126
20110616,22.4631
20110617,33.8446
20110620,11.9949
20110621,9.61
20110622,12.2291
20110623,37.4116
20110624,18.1483
20110627,15.357
20110628,15.4599
20110629,17.5888
20110630,13.5544
20110701,12.5978
20110704,2.7
20110705,10.1598
20110706,12.691
20110707,11.3016
20110708,29.5276
20110711,14.6533
20110712,13.5563
20110713,9.81
20110714,12.5484
20110715,10.529
20110718,9.5
20110719,11.8077
20110720,7.6
20110721,14.4157
20110722,5.24
20110725,9.32
20110726,10.1411
20110727,6.84
20110728,11.5837
20110729,15.5795
20110801,16.5758
20110802,10.5341
20110803,13.8935
20110804,19.9444
20110805,176.7971
20110808,39.388
20110809,118.8481
20110810,45.6723
20110811,80.1282
20110812,34.9696
20110815,23.3043
20110816,16.1528
20110817,13.7677
20110818,25.1147
20110819,83.5646
20110822,21.87
20110823,30.5605
20110824,16.701
20110825,19.9076
